SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ADVANIHOTR, EQ, 07-Mar-2022, 90.75, 88.00, 88.90, 84.55, 85.60, 85.25, 86.65, 128978, 111.76, 2241, 74682, 57.90
ADVENZYMES, EQ, 07-Mar-2022, 306.00, 299.10, 312.00, 294.00, 299.90, 300.50, 301.23, 225990, 680.74, 8656, 66118, 29.26
AEGISCHEM, EQ, 07-Mar-2022, 205.30, 201.50, 202.95, 189.55, 195.00, 194.50, 194.65, 1196745, 2329.45, 21177, 511593, 42.75
AFFLE, EQ, 07-Mar-2022, 1157.95, 1145.00, 1165.00, 1108.50, 1147.95, 1148.00, 1140.08, 326917, 3727.12, 28447, 107098, 32.76
AGARIND, EQ, 07-Mar-2022, 466.15, 456.10, 459.65, 425.80, 430.05, 435.55, 444.46, 66778, 296.80, 3262, 37632, 56.35
AGRITECH, EQ, 07-Mar-2022, 84.90, 87.80, 89.10, 82.00, 85.75, 85.15, 86.04, 100652, 86.60, 1424, 50082, 49.76
AGROPHOS, EQ, 07-Mar-2022, 20.75, 20.95, 20.95, 19.05, 19.35, 19.55, 19.93, 93700, 18.67, 535, 49031, 52.33
AGSTRA, EQ, 07-Mar-2022, 115.25, 111.05, 112.70, 106.95, 108.00, 108.15, 109.53, 451603, 494.66, 7643, 298999, 66.21
AHLADA, EQ, 07-Mar-2022, 119.20, 119.20, 120.65, 116.25, 117.85, 118.80, 118.16, 6668, 7.88, 238, 4009, 60.12
AHLEAST, EQ, 07-Mar-2022, 194.70, 191.05, 201.95, 186.10, 193.50, 194.95, 195.79, 6045, 11.84, 257, 3398, 56.21
AHLUCONT, EQ, 07-Mar-2022, 399.95, 388.00, 388.00, 369.65, 380.90, 375.10, 376.51, 27358, 103.01, 1653, 13060, 47.74
AIAENG, EQ, 07-Mar-2022, 1548.70, 1548.70, 1598.00, 1475.05, 1594.60, 1586.45, 1542.21, 69813, 1076.67, 11882, 32693, 46.83
AILIMITED, SM, 07-Mar-2022, 22.95, 21.90, 21.90, 21.85, 21.85, 21.85, 21.88, 6000, 1.31, 2, 6000, 100.00
AIRAN, EQ, 07-Mar-2022, 19.85, 19.45, 19.70, 19.15, 19.25, 19.25, 19.34, 82480, 15.95, 682, 62446, 75.71
AIROLAM, EQ, 07-Mar-2022, 65.95, 64.90, 64.90, 58.50, 60.65, 60.90, 60.89, 62346, 37.96, 689, 38096, 61.10
AIRTELPP, E1, 07-Mar-2022, 299.80, 295.80, 319.00, 290.00, 316.80, 312.20, 309.03, 710329, 2195.11, 6734, 505289, 71.13
AJANTPHARM, EQ, 07-Mar-2022, 1708.20, 1692.70, 1745.05, 1631.15, 1675.05, 1705.40, 1690.15, 55593, 939.61, 9293, 21534, 38.74
AJMERA, EQ, 07-Mar-2022, 349.00, 341.95, 341.95, 331.55, 331.55, 331.55, 333.57, 35779, 119.35, 1371, 15140, 42.32
AJOONI, EQ, 07-Mar-2022, 57.75, 57.50, 58.00, 54.65, 56.25, 57.15, 56.85, 50880, 28.92, 594, 36935, 72.59
AKG, EQ, 07-Mar-2022, 38.15, 36.10, 38.70, 36.10, 38.60, 38.35, 37.79, 5461, 2.06, 80, 4650, 85.15
AKSHARCHEM, EQ, 07-Mar-2022, 355.95, 351.00, 351.00, 333.90, 340.00, 337.15, 340.74, 6940, 23.65, 576, 3671, 52.90
AKSHOPTFBR, EQ, 07-Mar-2022, 11.00, 11.25, 11.25, 10.45, 10.45, 10.50, 10.69, 524609, 56.08, 1112, 326528, 62.24
AKZOINDIA, EQ, 07-Mar-2022, 1836.75, 1832.00, 1873.90, 1810.00, 1829.00, 1826.70, 1831.45, 10749, 196.86, 1900, 4498, 41.85
ALANKIT, EQ, 07-Mar-2022, 13.60, 13.50, 14.00, 13.30, 13.70, 13.75, 13.55, 567079, 76.82, 1994, 350256, 61.76
ALBERTDAVD, EQ, 07-Mar-2022, 522.45, 522.45, 526.90, 508.00, 521.00, 519.20, 514.78, 5466, 28.14, 515, 3550, 64.95
ALEMBICLTD, EQ, 07-Mar-2022, 83.50, 82.00, 82.00, 80.05, 81.65, 81.20, 80.69, 226153, 182.49, 4915, 81338, 35.97
ALICON, EQ, 07-Mar-2022, 757.50, 756.65, 768.85, 705.10, 709.65, 725.15, 739.91, 12642, 93.54, 1078, 8166, 64.59
ALKEM, EQ, 07-Mar-2022, 3176.60, 3112.00, 3364.65, 3107.85, 3253.10, 3261.30, 3220.93, 103285, 3326.74, 12857, 50972, 49.35
ALKYLAMINE, EQ, 07-Mar-2022, 2837.90, 2817.00, 2825.00, 2760.10, 2818.25, 2801.65, 2788.84, 49190, 1371.83, 10329, 22373, 45.48
ALLCARGO, EQ, 07-Mar-2022, 315.25, 311.00, 311.55, 290.30, 299.50, 300.45, 298.82, 508980, 1520.94, 15782, 308097, 60.53
ALLSEC, EQ, 07-Mar-2022, 536.70, 530.00, 530.00, 506.40, 528.00, 525.60, 522.64, 28553, 149.23, 1698, 19227, 67.34
ALMONDZ, EQ, 07-Mar-2022, 93.10, 93.10, 110.80, 91.00, 95.40, 98.55, 95.47, 11984, 11.44, 258, 6572, 54.84
ALOKINDS, EQ, 07-Mar-2022, 24.10, 23.50, 23.55, 22.95, 23.35, 23.25, 23.25, 11013650, 2560.25, 12986, 4260114, 38.68
ALPA, EQ, 07-Mar-2022, 70.60, 70.00, 70.00, 65.00, 67.35, 67.30, 67.34, 78633, 52.95, 1534, 53655, 68.23
ALPHAGEO, EQ, 07-Mar-2022, 293.35, 289.80, 298.00, 284.50, 286.00, 289.30, 292.31, 16629, 48.61, 1061, 5330, 32.05
AMARAJABAT, EQ, 07-Mar-2022, 555.20, 549.95, 552.85, 537.00, 549.05, 547.70, 545.58, 514419, 2806.58, 19967, 155325, 30.19
AMBANIORG, SM, 07-Mar-2022, 105.90, 110.00, 110.00, 110.00, 110.00, 110.00, 110.00, 2000, 2.20, 1, 2000, 100.00
AMBER, EQ, 07-Mar-2022, 3492.65, 3400.00, 3492.00, 3338.00, 3338.00, 3360.00, 3377.40, 53656, 1812.18, 10555, 22666, 42.24
AMBICAAGAR, EQ, 07-Mar-2022, 28.60, 27.90, 27.90, 27.20, 27.20, 27.20, 27.26, 25187, 6.87, 242, 23167, 91.98
AMBIKCO, EQ, 07-Mar-2022, 2381.80, 2355.00, 2370.00, 2275.00, 2323.35, 2304.80, 2314.25, 25210, 583.42, 3894, 13916, 55.20
AMBUJACEM, EQ, 07-Mar-2022, 292.60, 287.95, 289.00, 278.00, 280.60, 281.20, 282.51, 6936569, 19596.20, 91238, 3218900, 46.40
AMDIND, EQ, 07-Mar-2022, 45.25, 44.85, 46.45, 42.50, 43.20, 43.45, 44.06, 48793, 21.50, 491, 23010, 47.16
AMIORG, EQ, 07-Mar-2022, 890.30, 885.00, 896.95, 850.10, 869.00, 855.00, 873.21, 129972, 1134.93, 13977, 50588, 38.92
AMJLAND, EQ, 07-Mar-2022, 27.05, 25.80, 27.55, 25.80, 26.65, 26.55, 26.61, 19836, 5.28, 262, 13124, 66.16
AMRUTANJAN, EQ, 07-Mar-2022, 811.05, 806.95, 819.90, 788.20, 808.00, 803.80, 807.68, 42662, 344.57, 6806, 13541, 31.74
ANANDRATHI, EQ, 07-Mar-2022, 556.90, 555.00, 561.20, 552.00, 558.30, 559.15, 557.56, 35960, 200.50, 1858, 19700, 54.78
ANANTRAJ, EQ, 07-Mar-2022, 67.80, 67.60, 67.60, 63.60, 64.90, 64.95, 64.98, 483464, 314.17, 4633, 255128, 52.77
ANDHRACEMT, EQ, 07-Mar-2022, 13.85, 14.00, 14.00, 13.10, 13.35, 13.35, 13.29, 291804, 38.78, 1093, 213741, 73.25
ANDHRAPAP, EQ, 07-Mar-2022, 213.25, 213.95, 215.95, 208.60, 213.00, 213.00, 213.01, 25875, 55.12, 1542, 15813, 61.11
ANDHRSUGAR, EQ, 07-Mar-2022, 142.35, 137.20, 143.80, 135.10, 141.40, 141.50, 139.73, 512104, 715.56, 7913, 115571, 22.57
ANDREWYU, EQ, 07-Mar-2022, 20.95, 20.50, 21.05, 20.25, 20.65, 20.65, 20.62, 215889, 44.51, 986, 150478, 69.70
ANGELONE, EQ, 07-Mar-2022, 1309.70, 1270.00, 1289.85, 1250.00, 1255.00, 1255.50, 1265.32, 333848, 4224.24, 22302, 171812, 51.46
ANIKINDS, EQ, 07-Mar-2022, 25.35, 24.95, 26.60, 24.20, 25.15, 25.50, 25.08, 37443, 9.39, 310, 24443, 65.28
ANMOL, EQ, 07-Mar-2022, 220.40, 211.30, 219.70, 205.20, 216.00, 213.05, 216.10, 52885, 114.28, 5688, 15572, 29.45
ANSALAPI, EQ, 07-Mar-2022, 14.20, 13.85, 14.00, 13.50, 13.60, 13.60, 13.71, 172406, 23.63, 471, 109909, 63.75
ANUP, EQ, 07-Mar-2022, 818.05, 800.00, 804.00, 761.00, 775.55, 775.20, 778.27, 37361, 290.77, 4830, 19406, 51.94
ANURAS, EQ, 07-Mar-2022, 801.85, 798.40, 800.00, 776.70, 780.10, 781.75, 790.37, 40541, 320.42, 3568, 18830, 46.45
APARINDS, EQ, 07-Mar-2022, 615.75, 614.00, 616.50, 591.95, 606.90, 602.55, 603.04, 87163, 525.62, 5349, 43356, 49.74
APCL, EQ, 07-Mar-2022, 255.95, 252.00, 253.45, 245.20, 253.45, 251.60, 249.54, 15025, 37.49, 630, 10002, 66.57
APCOTEXIND, EQ, 07-Mar-2022, 339.15, 333.00, 340.75, 325.00, 326.00, 330.95, 332.82, 31416, 104.56, 1843, 11388, 36.25
APEX, EQ, 07-Mar-2022, 269.05, 261.00, 268.95, 257.55, 262.85, 262.20, 261.86, 51905, 135.92, 2483, 16273, 31.35
APLAPOLLO, EQ, 07-Mar-2022, 860.80, 840.10, 848.00, 816.90, 826.80, 830.95, 831.27, 408126, 3392.65, 16423, 254164, 62.28
APLLTD, EQ, 07-Mar-2022, 712.25, 701.00, 715.00, 695.40, 704.00, 709.65, 707.35, 114566, 810.39, 3877, 60752, 53.03
APOLLOHOSP, EQ, 07-Mar-2022, 4747.25, 4620.00, 4732.80, 4583.85, 4666.10, 4664.35, 4638.83, 643012, 29828.24, 47505, 281113, 43.72
APOLLOPIPE, EQ, 07-Mar-2022, 458.40, 457.90, 470.00, 445.00, 451.00, 453.25, 451.71, 47658, 215.28, 3090, 32376, 67.93
APOLLOTYRE, EQ, 07-Mar-2022, 174.40, 169.95, 175.50, 165.25, 174.55, 173.80, 169.67, 4632142, 7859.21, 48305, 969059, 20.92
APOLSINHOT, EQ, 07-Mar-2022, 749.75, 746.00, 746.50, 722.00, 730.05, 730.10, 728.91, 414, 3.02, 50, 372, 89.86
APTECHT, EQ, 07-Mar-2022, 312.20, 307.00, 308.50, 300.55, 305.00, 305.50, 305.01, 84598, 258.03, 4145, 16324, 19.30
APTUS, EQ, 07-Mar-2022, 331.15, 321.25, 349.40, 321.25, 344.30, 346.05, 340.98, 1317456, 4492.20, 9374, 1162755, 88.26
ARCHIDPLY, EQ, 07-Mar-2022, 42.05, 41.85, 41.85, 39.95, 40.15, 40.05, 40.29, 17275, 6.96, 209, 11480, 66.45
ARCHIES, EQ, 07-Mar-2022, 17.20, 17.15, 17.15, 16.60, 16.90, 16.85, 16.80, 56646, 9.52, 395, 43913, 77.52
ARIES, EQ, 07-Mar-2022, 125.90, 126.00, 127.00, 121.35, 124.80, 124.10, 124.39, 45392, 56.46, 1204, 26450, 58.27
ARIHANTCAP, EQ, 07-Mar-2022, 394.80, 385.00, 389.00, 375.10, 380.00, 380.90, 378.52, 132878, 502.97, 2490, 73490, 55.31
ARIHANTSUP, EQ, 07-Mar-2022, 140.00, 136.00, 137.95, 126.00, 126.00, 126.00, 129.58, 179293, 232.33, 1807, 101797, 56.78
ARMANFIN, EQ, 07-Mar-2022, 778.70, 795.00, 809.70, 744.20, 799.50, 796.75, 780.34, 11990, 93.56, 1533, 4803, 40.06
AROGRANITE, EQ, 07-Mar-2022, 57.80, 56.90, 56.90, 54.00, 54.80, 54.85, 55.57, 29839, 16.58, 510, 19399, 65.01
ARROWGREEN, EQ, 07-Mar-2022, 90.15, 90.15, 92.00, 87.75, 92.00, 91.15, 90.64, 15459, 14.01, 283, 11532, 74.60
ARTEMISMED, EQ, 07-Mar-2022, 40.65, 40.50, 40.50, 38.05, 38.95, 38.70, 39.22, 26225, 10.28, 330, 16232, 61.90
ARVEE, EQ, 07-Mar-2022, 77.70, 77.90, 83.00, 74.75, 81.50, 80.25, 80.05, 1424, 1.14, 106, 690, 48.46
ARVIND, EQ, 07-Mar-2022, 116.40, 114.00, 115.00, 102.90, 104.20, 104.15, 106.65, 3359746, 3583.18, 25993, 1492390, 44.42
ARVINDFASN, EQ, 07-Mar-2022, 262.40, 253.00, 258.00, 247.00, 251.50, 249.65, 251.31, 180488, 453.59, 4741, 100604, 55.74
ARVSMART, EQ, 07-Mar-2022, 192.50, 183.55, 198.70, 183.00, 188.80, 190.00, 186.11, 28351, 52.76, 601, 12211, 43.07
ASAHIINDIA, EQ, 07-Mar-2022, 419.10, 410.10, 410.10, 382.05, 397.30, 395.95, 393.68, 367603, 1447.18, 26233, 142490, 38.76
ASAHISONG, EQ, 07-Mar-2022, 270.55, 265.15, 270.00, 255.50, 262.70, 261.85, 263.32, 20259, 53.35, 643, 15596, 76.98
ASALCBR, EQ, 07-Mar-2022, 446.75, 440.00, 448.55, 431.45, 447.20, 445.45, 442.67, 43377, 192.02, 2567, 25302, 58.33
ASHAPURMIN, EQ, 07-Mar-2022, 103.25, 101.50, 101.50, 96.65, 98.00, 98.10, 99.42, 101043, 100.46, 1848, 78462, 77.65
ASHIANA, EQ, 07-Mar-2022, 153.65, 153.65, 158.50, 150.00, 156.80, 156.10, 154.41, 49661, 76.68, 1284, 26854, 54.07
ASHIMASYN, EQ, 07-Mar-2022, 15.65, 15.50, 15.50, 14.50, 14.85, 14.85, 14.90, 74389, 11.08, 312, 49159, 66.08
ASHOKA, EQ, 07-Mar-2022, 90.25, 88.10, 89.00, 86.00, 86.65, 86.40, 87.16, 763309, 665.29, 7822, 354211, 46.40
ASHOKLEY, EQ, 07-Mar-2022, 105.85, 103.90, 103.90, 96.80, 99.05, 99.15, 99.40, 40212680, 39970.70, 220617, 15952257, 39.67
ASIANENE, EQ, 07-Mar-2022, 119.00, 119.00, 119.00, 112.35, 113.50, 113.80, 115.39, 73275, 84.55, 2276, 42311, 57.74
ASIANHOTNR, EQ, 07-Mar-2022, 75.70, 74.50, 76.90, 74.10, 75.20, 75.55, 75.46, 3659, 2.76, 182, 1510, 41.27
ASIANPAINT, EQ, 07-Mar-2022, 2738.15, 2649.90, 2727.95, 2599.35, 2706.95, 2708.45, 2663.47, 3233760, 86130.37, 252501, 1408844, 43.57
ASIANTILES, EQ, 07-Mar-2022, 101.50, 99.90, 101.00, 97.10, 100.65, 100.25, 99.21, 320654, 318.11, 4890, 194145, 60.55
ASPINWALL, EQ, 07-Mar-2022, 194.30, 185.50, 193.80, 178.55, 183.50, 181.40, 183.80, 8327, 15.31, 297, 4193, 50.35
ASTEC, EQ, 07-Mar-2022, 1494.30, 1470.00, 1482.40, 1431.50, 1470.00, 1472.00, 1465.03, 14516, 212.66, 2036, 7140, 49.19
ASTERDM, EQ, 07-Mar-2022, 166.30, 163.10, 165.50, 158.10, 162.00, 161.90, 161.33, 461730, 744.90, 9314, 207038, 44.84
ASTRAL, EQ, 07-Mar-2022, 1848.80, 1814.80, 1853.00, 1785.05, 1833.00, 1828.05, 1823.10, 283897, 5175.72, 33058, 134440, 47.36
ASTRAMICRO, EQ, 07-Mar-2022, 186.30, 184.75, 187.85, 180.25, 180.40, 185.75, 185.23, 362965, 672.32, 6713, 213111, 58.71
ASTRAZEN, EQ, 07-Mar-2022, 2653.50, 2640.50, 2640.50, 2592.00, 2619.00, 2607.45, 2610.20, 8312, 216.96, 1565, 6005, 72.24
ASTRON, EQ, 07-Mar-2022, 39.40, 39.00, 39.45, 37.95, 38.15, 38.15, 38.58, 41436, 15.98, 460, 27169, 65.57
ATALREAL, SM, 07-Mar-2022, 140.00, 139.00, 139.00, 139.00, 139.00, 139.00, 139.00, 1600, 2.22, 1, 1600, 100.00
ATFL, EQ, 07-Mar-2022, 868.50, 871.90, 893.50, 820.85, 844.90, 837.25, 846.40, 5003, 42.35, 652, 2136, 42.69
ATGL, EQ, 07-Mar-2022, 1805.20, 1769.10, 1789.80, 1714.95, 1714.95, 1714.95, 1739.50, 162241, 2822.19, 17683, 106355, 65.55
ATUL, EQ, 07-Mar-2022, 8545.55, 8484.95, 8683.15, 8216.25, 8645.00, 8600.80, 8435.56, 25788, 2175.36, 7458, 8826, 34.23
ATULAUTO, EQ, 07-Mar-2022, 171.75, 168.95, 169.45, 165.00, 167.70, 166.75, 166.96, 64986, 108.50, 2262, 40257, 61.95
AUBANK, EQ, 07-Mar-2022, 1125.05, 1068.80, 1097.95, 1051.85, 1068.90, 1064.90, 1071.18, 1626925, 17427.36, 61946, 586780, 36.07
AURIONPRO, EQ, 07-Mar-2022, 300.50, 298.70, 298.70, 285.70, 286.95, 286.90, 291.44, 24049, 70.09, 1381, 10091, 41.96
AUROPHARMA, EQ, 07-Mar-2022, 609.35, 609.35, 613.40, 584.25, 608.75, 608.95, 600.70, 2048437, 12305.03, 61305, 573295, 27.99
AURUM, EQ, 07-Mar-2022, 111.35, 111.00, 111.10, 105.80, 106.90, 106.55, 107.27, 106961, 114.74, 2626, 50380, 47.10
AUSOMENT, EQ, 07-Mar-2022, 64.15, 63.20, 64.80, 61.10, 64.00, 62.00, 62.78, 6858, 4.31, 368, 2766, 40.33
AUTOAXLES, EQ, 07-Mar-2022, 1463.25, 1452.00, 1475.50, 1406.05, 1468.95, 1462.15, 1447.05, 9359, 135.43, 1563, 5143, 54.95
AVADHSUGAR, EQ, 07-Mar-2022, 589.45, 590.00, 614.00, 567.80, 605.65, 606.35, 593.48, 279180, 1656.86, 11428, 55178, 19.76
AVANTIFEED, EQ, 07-Mar-2022, 439.85, 442.00, 458.05, 424.40, 428.00, 429.45, 434.32, 887529, 3854.70, 15673, 671349, 75.64
AVTNPL, EQ, 07-Mar-2022, 90.95, 89.95, 89.95, 85.85, 87.00, 87.05, 87.41, 159198, 139.16, 3011, 60094, 37.75
AWHCL, EQ, 07-Mar-2022, 285.00, 280.00, 280.00, 267.00, 271.20, 270.00, 270.79, 187229, 507.00, 5693, 112331, 60.00
AWL, EQ, 07-Mar-2022, 360.80, 346.00, 351.00, 337.25, 341.00, 340.80, 343.00, 9228324, 31652.78, 164051, 3493625, 37.86
AXISBANK, EQ, 07-Mar-2022, 715.00, 693.00, 705.00, 655.60, 669.00, 667.55, 671.06, 20147061, 135199.25, 358469, 11232195, 55.75
AXISBNKETF, EQ, 07-Mar-2022, 346.88, 346.01, 346.88, 329.00, 334.80, 334.79, 332.97, 5540, 18.45, 241, 4976, 89.82
AXISBPSETF, EQ, 07-Mar-2022, 10.50, 10.50, 10.51, 10.49, 10.50, 10.49, 10.50, 73985, 7.77, 21725, 66995, 90.55
AXISCETF, EQ, 07-Mar-2022, 64.49, 66.42, 66.42, 62.56, 64.89, 64.65, 64.69, 9154, 5.92, 52, 9140, 99.85
AXISGOLD, EQ, 07-Mar-2022, 44.55, 45.08, 46.55, 45.08, 45.95, 46.11, 45.98, 619694, 284.92, 8386, 428063, 69.08
AXISHCETF, EQ, 07-Mar-2022, 81.31, 80.02, 81.99, 79.00, 79.25, 80.22, 80.45, 1428, 1.15, 201, 954, 66.81
AXISNIFTY, EQ, 07-Mar-2022, 172.47, 179.40, 179.79, 168.00, 170.13, 169.99, 169.25, 41841, 70.82, 461, 39045, 93.32
